361469	6154542
361202	6154244
360936	6153946
360670	6153647
360403	6153349
360137	6153050
359870	6152752
361202	6154694
360936	6154396
360670	6154098
360403	6153799
360137	6153501
359870	6153203
359604	6152904
359337	6152606
360936	6154846
360670	6154548
360403	6154250
360137	6153951
359870	6153653
359604	6153355
359337	6153056
359071	6152758
360670	6154998
360403	6154700
360137	6154402
359870	6154103
359337	6153507
359071	6153208
358805	6152910
360390	6155136
360137	6154852
359870	6154554
359604	6154255
359071	6153659
358805	6153360
359870	6155004
359604	6154706
359337	6154407
359071	6154109
358805	6153811
359604	6155156
359337	6154858
359071	6154560
358805	6154261
359337	6155308
359071	6155010
358805	6154712

