mean,mean,mean
8.996,267.1,1323.1
9.386,259.5,1513.2
8.96,258.2,1285.4
9.397,258.1,1532.1
9.269,279.6,2068.6
8.829,280.4,1667.3
8.621,275.8,1255
8.692,274.9,1453.7
8.69,273.5,1200.3
8.61,271.7,911.26
8.823,249.9,1316.2
9.15,260.3,1366.3
9.235,263.1,1443.9
8.936,261,1273.4
9.073,258.5,1413.3
8.869,254.3,1171.3
9.055,255.7,1345.9
8.661,254.7,1165.8
9.387,254.9,1551.6
9.292,259.1,1490.9
8.739,264.5,1145.6
9.052,260.2,1364.5
8.763,264.1,1140.2
8.784,253.6,1203.1
9.482,258.6,1568.4
9.264,257.6,1463
9.03,257.6,1328.5
8.68,255.8,1161
8.922,235.9,1324.6
9.098,303.1,439.75
8.88,302.7,268.49
9.167,299.5,330.18
9.361,298.1,565.5
9.031,297.2,612.13
9.169,296.7,473.96
9.323,296,421.64
8.509,291.3,631.87
8.531,286.9,1207.6
8.624,278.4,1260.8
9.142,277.8,1478.4
9.163,276.9,1440.7
9.159,275.1,1705.4
9.26,272.1,1919.2
9.219,272.9,1890.9
9.181,272.7,2007.7
8.861,269.9,1230.3
9.178,264,1372.8
8.633,261.1,1113.6
9.46,258.4,1726.9
9.492,157.4,1665.1
9.339,156.2,1566.6
9.233,153.9,1335.2
9.351,150.6,1534.6
9.19,151.6,1564.8
9.21,150.8,1435.1
9.338,149.5,1692.4
9.364,150.8,1760.5
9.208,152.5,2000.3
9.259,152.3,1711.5
8.524,150.3,1410.9
8.548,154.3,1111.6
8.643,153.3,1043.1
8.865,144.6,1230.8
8.842,142.4,1369.3
8.925,131.4,299.7
8.706,142.5,1396.4
9.236,142.3,1269.9
8.57,131.4,612.25
8.962,127.8,204.06
9.227,128.2,109.48
9.375,121.1,1397.2
9.286,122.2,1420.4
9.389,127.8,1389.8
8.693,129.1,1064.3
8.666,128.9,298.31
8.693,134.9,624.2
8.909,142.9,897.16
9.301,142.5,1044.9
9.258,141.2,1095.9
9.194,140.1,1268.7
8.927,139.4,990.91
8.791,141.8,734.73
9.462,181.9,1555.9
9.095,202.8,1588.8
9.098,206.3,1418.3
9.263,208.6,1448.8
9.271,211.2,1519.5
8.754,210.6,1239.7
8.857,210.3,1262.8
