# 105	
#	4				6	
#nWT	Pi/P1		P_std/P1	Pi/P1		P_std/P1
1	1		0.1272754181	1		0.1254033771
2	0.2021607222	0.1260174634	0.1785365854	0.0753470919
3	0.3336539885	0.1142518869	0.3063414634	0.069043152
4	0		0		0.27684803	0.0683677298
5	0		0		0.2894559099	0.0748217636
6	0.6319372503	0.1485126535	0.2950844278	0.0757223265
7	0.2833357999	0.0870208672	0.3154971857	0.0805253283
8	0		0		0.3401876173	0.0915572233
