207	212	217	222	227	232	237 
456	426	462	396	369	365	399
435	462	491	410	409	380	398
469	526	518	438	431	414	424
588	645	534	475	565	548	489
964	822	588	508	569	644	583
1114	940	683	587	625	873	896
1134	906	583	477	635	1034	1285
1352	1357	1367	1365	1372	1374	1378
