# 105	
#	4				6	
#nWT	Pi/P1		P_std/P1	Pi/P1		P_std/P1
1	1		0.1430834213	1		0.1377867328
2	0.887690451	0.189772213	0.8235430874	0.1944358338
3	0.8180721074	0.2145119928	0.8525263484	0.1993955363
4	0		0		0.7397706138	0.1877712337
5	0		0		0.5788127712	0.1542157471
6	0.5608689093	0.2016141198	0.431184129	0.1670024799
7	0.4142404586	0.172575049	0.3983261004	0.1621977681
8	0		0		0.3901115933	0.1618102914
