# 222				
#	B				D	
#nWT	Pi/P1		P_std/P1	Pi/P1		P_std/P1
1	1		0.1083834091	1		0.121986684
2	0.3493331379	0.1708192877	0.3990204332	0.1658376062
3	0.4300161219	0.1454638722	0.4630749216	0.1488482437
4	0.372490107	0.1164443793	0		0
5	0.3482339147	0.0886706727	0.5716690901	0.1292569067
6	0.3212663051	0.089916459	0.3385627918	0.0898446468
7	0.300381064	0.0894767697	0.3342006581	0.0961965256
8	0.290341492	0.0887439543	0.328614066	0.0955842963
